company,industry,revenue_2023,employees,founded
TechCorp,Software,250000000,1200,2015
DataSolutions,Analytics,180000000,850,2018
AIInnovate,Artificial Intelligence,320000000,1500,2020
CloudWorks,Cloud Computing,450000000,2100,2012
CyberSecure,Cybersecurity,190000000,900,2017
FinTechPlus,Financial Technology,380000000,1800,2019
HealthTech,Healthcare Technology,280000000,1300,2016
EduSmart,Education Technology,120000000,600,2021
RetailAI,Retail Technology,220000000,1100,2020
AutoDrive,Autonomous Vehicles,520000000,2800,2014
